Filename,lemma_ttr,lemma_mattr,lexical_density_tokens,lexical_density_types,content_ttr,function_ttr,function_mattr,noun_ttr,verb_ttr,adj_ttr,adv_ttr,prp_ttr,argument_ttr,bigram_lemma_ttr,trigram_lemma_ttr,adjacent_overlap_all_sent,adjacent_overlap_all_sent_div_seg,adjacent_overlap_binary_all_sent,adjacent_overlap_2_all_sent,adjacent_overlap_2_all_sent_div_seg,adjacent_overlap_binary_2_all_sent,adjacent_overlap_cw_sent,adjacent_overlap_cw_sent_div_seg,adjacent_overlap_binary_cw_sent,adjacent_overlap_2_cw_sent,adjacent_overlap_2_cw_sent_div_seg,adjacent_overlap_binary_2_cw_sent,adjacent_overlap_fw_sent,adjacent_overlap_fw_sent_div_seg,adjacent_overlap_binary_fw_sent,adjacent_overlap_2_fw_sent,adjacent_overlap_2_fw_sent_div_seg,adjacent_overlap_binary_2_fw_sent,adjacent_overlap_noun_sent,adjacent_overlap_noun_sent_div_seg,adjacent_overlap_binary_noun_sent,adjacent_overlap_2_noun_sent,adjacent_overlap_2_noun_sent_div_seg,adjacent_overlap_binary_2_noun_sent,adjacent_overlap_verb_sent,adjacent_overlap_verb_sent_div_seg,adjacent_overlap_binary_verb_sent,adjacent_overlap_2_verb_sent,adjacent_overlap_2_verb_sent_div_seg,adjacent_overlap_binary_2_verb_sent,adjacent_overlap_adj_sent,adjacent_overlap_adj_sent_div_seg,adjacent_overlap_binary_adj_sent,adjacent_overlap_2_adj_sent,adjacent_overlap_2_adj_sent_div_seg,adjacent_overlap_binary_2_adj_sent,adjacent_overlap_adv_sent,adjacent_overlap_adv_sent_div_seg,adjacent_overlap_binary_adv_sent,adjacent_overlap_2_adv_sent,adjacent_overlap_2_adv_sent_div_seg,adjacent_overlap_binary_2_adv_sent,adjacent_overlap_pronoun_sent,adjacent_overlap_pronoun_sent_div_seg,adjacent_overlap_binary_pronoun_sent,adjacent_overlap_2_pronoun_sent,adjacent_overlap_2_pronoun_sent_div_seg,adjacent_overlap_binary_2_pronoun_sent,adjacent_overlap_argument_sent,adjacent_overlap_argument_sent_div_seg,adjacent_overlap_binary_argument_sent,adjacent_overlap_2_argument_sent,adjacent_overlap_2_argument_sent_div_seg,adjacent_overlap_binary_2_argument_sent,adjacent_overlap_all_para,adjacent_overlap_all_para_div_seg,adjacent_overlap_binary_all_para,adjacent_overlap_2_all_para,adjacent_overlap_2_all_para_div_seg,adjacent_overlap_binary_2_all_para,adjacent_overlap_cw_para,adjacent_overlap_cw_para_div_seg,adjacent_overlap_binary_cw_para,adjacent_overlap_2_cw_para,adjacent_overlap_2_cw_para_div_seg,adjacent_overlap_binary_2_cw_para,adjacent_overlap_fw_para,adjacent_overlap_fw_para_div_seg,adjacent_overlap_binary_fw_para,adjacent_overlap_2_fw_para,adjacent_overlap_2_fw_para_div_seg,adjacent_overlap_binary_2_fw_para,adjacent_overlap_noun_para,adjacent_overlap_noun_para_div_seg,adjacent_overlap_binary_noun_para,adjacent_overlap_2_noun_para,adjacent_overlap_2_noun_para_div_seg,adjacent_overlap_binary_2_noun_para,adjacent_overlap_verb_para,adjacent_overlap_verb_para_div_seg,adjacent_overlap_binary_verb_para,adjacent_overlap_2_verb_para,adjacent_overlap_2_verb_para_div_seg,adjacent_overlap_binary_2_verb_para,adjacent_overlap_adj_para,adjacent_overlap_adj_para_div_seg,adjacent_overlap_binary_adj_para,adjacent_overlap_2_adj_para,adjacent_overlap_2_adj_para_div_seg,adjacent_overlap_binary_2_adj_para,adjacent_overlap_adv_para,adjacent_overlap_adv_para_div_seg,adjacent_overlap_binary_adv_para,adjacent_overlap_2_adv_para,adjacent_overlap_2_adv_para_div_seg,adjacent_overlap_binary_2_adv_para,adjacent_overlap_pronoun_para,adjacent_overlap_pronoun_para_div_seg,adjacent_overlap_binary_pronoun_para,adjacent_overlap_2_pronoun_para,adjacent_overlap_2_pronoun_para_div_seg,adjacent_overlap_binary_2_pronoun_para,adjacent_overlap_argument_para,adjacent_overlap_argument_para_div_seg,adjacent_overlap_binary_argument_para,adjacent_overlap_2_argument_para,adjacent_overlap_2_argument_para_div_seg,adjacent_overlap_binary_2_argument_para,syn_overlap_sent_noun,syn_overlap_sent_verb,syn_overlap_para_noun,syn_overlap_para_verb,lsa_1_all_sent,lsa_2_all_sent,lsa_1_all_para,lsa_2_all_para,lda_1_all_sent,lda_2_all_sent,lda_1_all_para,lda_2_all_para,word2vec_1_all_sent,word2vec_2_all_sent,word2vec_1_all_para,word2vec_2_all_para,basic_connectives,conjunctions,disjunctions,lexical_subordinators,coordinating_conjuncts,addition,sentence_linking,order,reason_and_purpose,all_causal,positive_causal,opposition,determiners,all_demonstratives,attended_demonstratives,unattended_demonstratives,all_additive,all_logical,positive_logical,negative_logical,all_temporal,positive_intentional,all_positive,all_negative,all_connective,pronoun_density,pronoun_noun_ratio,repeated_content_lemmas,repeated_content_and_pronoun_lemmas
289.txt,0.615384615385,0.615384615385,0.423076923077,0.4375,0.636363636364,0.6,0.6,0.714285714286,0.5,0,0,1.0,0.75,0.68,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769230769231,0.0769230769231,0.0,0.0769230769231,0.0,0.0769230769231,0.0384615384615,0.0,0.0384615384615,0.0384615384615,0.0384615384615,0.0,0.153846153846,0.0384615384615,0.0,0.0384615384615,0.0769230769231,0.0384615384615,0.0384615384615,0.0,0.0,0.0,0.115384615385,0.0,0.115384615385,0.0384615384615,0.142857142857,0.230769230769,0.230769230769
504.txt,1.0,1.0,0.571428571429,0.571428571429,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262.txt,0.65625,0.65625,0.53125,0.571428571429,0.705882352941,0.6,0.6,0.727272727273,0.75,1.0,0,0.666666666667,0.692307692308,0.903225806452,1.0,0.45,3.0,1.0,0.571428571429,2.0,1.0,0.416666666667,1.66666666667,1.0,0.666666666667,2.0,1.0,0.5,1.33333333333,0.333333333333,0.0,0.0,0.0,0.375,1.0,1.0,0.4,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.5,0.333333333333,0.333333333333,0,0.0,0.0,0.444444444444,1.33333333333,1.0,0.4,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,0.525532563578,0.777984524417,0,0,0.918889432357,0.986819114371,0,0,0.835579999068,0.780518922395,0,0,0.0625,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.03125,0.03125,0.0,0.125,0.03125,0.0,0.03125,0.09375,0.0625,0.03125,0.0,0.0,0.03125,0.09375,0.0,0.125,0.09375,0.272727272727,0.25,0.3125
276.txt,0.575,0.575,0.5,0.478260869565,0.55,0.6,0.6,0.333333333333,0.666666666667,0,0.5,0.285714285714,0.3,0.871794871795,0.947368421053,0.571428571429,2.0,0.5,0.0,0.0,0.0,0.666666666667,1.0,0.5,0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0,0.5,0.5,0,0.0,0.0,0.5,0.5,0.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,0.5,0.5,0,0.0,0.0,1.0,1.0,0.5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,0,0,0.836934877822,0,0,0,0.892490499522,0.796210733486,0,0,0.485385900661,-0.0182253357886,0,0,0.025,0.025,0.0,0.1,0.0,0.025,0.125,0.0,0.075,0.075,0.125,0.0,0.0,0.0,0.0,0.0,0.025,0.1,0.1,0.0,0.0,0.025,0.175,0.0,0.175,0.025,0.333333333333,0.35,0.35
510.txt,1.0,1.0,0.533333333333,0.533333333333,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
538.txt,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,-0.0448317522204,0,0,0,0.197020538261,0,0,0,-0.0800242138351,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.txt,0.833333333333,0.833333333333,0.566666666667,0.56,0.823529411765,0.846153846154,0.846153846154,0.666666666667,1.0,1.0,1.0,1.0,0.75,0.896551724138,0.928571428571,0.190476190476,2.0,0.5,0.0833333333333,1.0,1.0,0.3,1.5,0.5,0.0,0.0,0.0,0.0909090909091,0.5,0.5,0.142857142857,1.0,1.0,0.6,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,1.5,0.5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.0,0,0,0.39233525552,0.173268409159,0,0,0.989212333777,0.979282720534,0,0,0.640726261917,0.302929748683,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333,0.0,0.0,0.0,0.0,0.0666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333,0.111111111111,0.2,0.2
114.txt,0.56862745098,0.57,0.470588235294,0.51724137931,0.625,0.555555555556,0.555555555556,0.7,0.6,1.0,0.333333333333,0.555555555556,0.611111111111,0.88,0.938775510204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588235294118,0.0588235294118,0.0,0.0,0.0,0.0588235294118,0.0196078431373,0.0196078431373,0.0196078431373,0.0196078431373,0.0196078431373,0.0,0.0392156862745,0.0196078431373,0.0,0.0196078431373,0.078431372549,0.0196078431373,0.0196078431373,0.0,0.0196078431373,0.0196078431373,0.117647058824,0.0,0.0980392156863,0.137254901961,0.7,0.333333333333,0.450980392157
672.txt,0.659090909091,0.659090909091,0.386363636364,0.48275862069,0.823529411765,0.666666666667,0.666666666667,1.0,0.75,1.0,0.666666666667,0.444444444444,0.727272727273,0.953488372093,0.97619047619,0.470588235294,8.0,1.0,0,0,0,0.222222222222,2.0,1.0,0,0,0,0.375,3.0,1.0,0,0,0,0.0,0.0,0.0,0,0,0,0.25,1.0,1.0,0,0,0,0,0.0,0.0,0,0,0,0.5,1.0,1.0,0,0,0,1.0,1.0,1.0,0,0,0,0.25,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0,0,0.0241765195715,0,0,0,0.882132738347,0,0,0,0.321312334086,0,0,0,0.0454545454545,0.0454545454545,0.0,0.0681818181818,0.0,0.0454545454545,0.0909090909091,0.0,0.0681818181818,0.0681818181818,0.113636363636,0.0,0.136363636364,0.0909090909091,0.0227272727273,0.0681818181818,0.0454545454545,0.0909090909091,0.0909090909091,0.0,0.0,0.0,0.136363636364,0.0,0.136363636364,0.159090909091,1.4,0.113636363636,0.25
666.txt,0.703703703704,0.703703703704,0.481481481481,0.473684210526,0.692307692308,0.714285714286,0.714285714286,0.571428571429,0.8,0,1.0,0.333333333333,0.461538461538,0.884615384615,0.96,0.454545454545,5.0,1.0,0,0,0,0.5,3.0,1.0,0,0,0,0.4,2.0,1.0,0,0,0,0.666666666667,2.0,1.0,0,0,0,0.5,1.0,1.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,1.0,2.0,1.0,0,0,0,0.8,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,0,0,0.845599307851,0,0,0,0.994688041006,0,0,0,0.79224495456,0,0,0,0.037037037037,0.0,0.0,0.0740740740741,0.037037037037,0.0,0.0740740740741,0.0,0.0740740740741,0.0740740740741,0.037037037037,0.0,0.037037037037,0.0,0.0,0.0,0.0,0.0740740740741,0.0740740740741,0.0,0.0,0.037037037037,0.0740740740741,0.0,0.037037037037,0.148148148148,0.571428571429,0.259259259259,0.407407407407
100.txt,0.944444444444,0.944444444444,0.388888888889,0.411764705882,1.0,0.909090909091,0.909090909091,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,-0.00892984257822,0,0,0,0.817116547329,0,0,0,0.240126908942,0,0,0,0.0,0.0,0.0,0.111111111111,0.0,0.0,0.111111111111,0.0,0.0555555555556,0.0555555555556,0.111111111111,0.0,0.166666666667,0.0,0.0,0.0,0.0,0.111111111111,0.111111111111,0.0,0.0,0.0,0.111111111111,0.0,0.111111111111,0.0555555555556,0.25,0.0,0.0
128.txt,0.866666666667,0.866666666667,0.533333333333,0.461538461538,0.75,1.0,1.0,0.5,0.75,0,1.0,1.0,0.8,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0666666666667,0.0,0.0,0.0666666666667,0.0,0.0666666666667,0.0666666666667,0.0666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.0666666666667,0.0,0.0,0.0,0.0666666666667,0.0,0.0666666666667,0.0666666666667,0.5,0.266666666667,0.266666666667
470.txt,0.8125,0.8125,0.5,0.538461538462,0.875,0.75,0.75,1.0,1.0,0,0.5,0.666666666667,0.833333333333,0.866666666667,0.928571428571,0.375,3.0,1.0,0,0,0,0.25,1.0,1.0,0,0,0,0.5,2.0,1.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,0,0,0,0.5,1.0,1.0,0,0,0,0.333333333333,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.172321452225,0,0,0,0,0,0,0,0.380475226518,0,0,0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0625,0.0625,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0625,0.125,0.666666666667,0.125,0.25
316.txt,1.0,1.0,0.571428571429,0.571428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.142857142857,0.0,0.0,0.142857142857,0.0,0.142857142857,0.142857142857,0.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.142857142857,0.142857142857,0.0,0.0,0.0,0.142857142857,0.0,0.142857142857,0.142857142857,1.0,0.0,0.0
302.txt,0.714285714286,0.714285714286,0.357142857143,0.3,0.6,0.777777777778,0.777777777778,0,0.666666666667,0,0.5,0.333333333333,0.333333333333,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714285714286,0.0,0.0714285714286,0.0714285714286,0.0,0.0,0.0714285714286,0.0,0.0,0.0,0.0714285714286,0.0,0.0,0.0,0.0,0.0,0.0714285714286,0.142857142857,0.0714285714286,0.0,0.0,0.0,0.0714285714286,0.0714285714286,0.142857142857,0.214285714286,0,0.285714285714,0.5
464.txt,0.708333333333,0.708333333333,0.333333333333,0.294117647059,0.625,0.75,0.75,0.6,0.666666666667,0,0,0.666666666667,0.625,0.913043478261,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333,0.0,0.0416666666667,0.0833333333333,0.0416666666667,0.0,0.0833333333333,0.0,0.0833333333333,0.0833333333333,0.0416666666667,0.0,0.125,0.0,0.0,0.0,0.0416666666667,0.166666666667,0.0833333333333,0.0,0.0,0.0416666666667,0.0833333333333,0.0416666666667,0.0833333333333,0.0,0.0,0.208333333333,0.208333333333
458.txt,0.727272727273,0.727272727273,0.515151515152,0.541666666667,0.764705882353,0.6875,0.6875,0.666666666667,0.857142857143,0,1.0,0.666666666667,0.666666666667,0.96875,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606060606061,0.0606060606061,0.0,0.0606060606061,0.0,0.0606060606061,0.0606060606061,0.0,0.030303030303,0.030303030303,0.0606060606061,0.0,0.121212121212,0.0,0.0,0.0,0.0606060606061,0.0606060606061,0.0606060606061,0.0,0.0,0.0,0.121212121212,0.0,0.121212121212,0.0606060606061,0.222222222222,0.181818181818,0.242424242424
459.txt,0.78125,0.78125,0.53125,0.52,0.764705882353,0.8,0.8,0.666666666667,0.75,1.0,1.0,1.0,0.727272727273,0.967741935484,1.0,0.1875,3.0,1.0,0,0,0,0.125,1.0,1.0,0,0,0,0.25,2.0,1.0,0,0,0,0.333333333333,1.0,1.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.2,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,0.174375357683,0,0,0,0.665154271107,0,0,0,0.450362971308,0,0,0,0.03125,0.03125,0.0,0.03125,0.0,0.03125,0.03125,0.0,0.03125,0.03125,0.03125,0.0,0.09375,0.0,0.0,0.0,0.03125,0.03125,0.03125,0.0,0.0,0.0,0.0625,0.0,0.0625,0.03125,0.111111111111,0.21875,0.21875
303.txt,0.888888888889,0.888888888889,0.5,0.5,0.888888888889,0.888888888889,0.888888888889,0.666666666667,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111,0.111111111111,0.0,0.0555555555556,0.0,0.111111111111,0.0555555555556,0.0,0.0555555555556,0.0555555555556,0.0555555555556,0.0,0.0555555555556,0.0,0.0,0.0,0.111111111111,0.0555555555556,0.0555555555556,0.0,0.0,0.0,0.166666666667,0.0,0.166666666667,0.0555555555556,0.333333333333,0.111111111111,0.111111111111
465.txt,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.125,0.0,0.125,0.125,0.5,0.0,0.0
471.txt,0.916666666667,0.916666666667,0.5,0.545454545455,1.0,0.833333333333,0.833333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.142857142857,2.0,1.0,0,0,0,0.0,0.0,0.0,0,0,0,0.25,2.0,1.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0,0,0.232468548291,0,0,0,0.998553047383,0,0,0,0.361998117547,0,0,0,0.0416666666667,0.0416666666667,0.0,0.0416666666667,0.0,0.0416666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333,0.0416666666667,0.0,0.0416666666667,0.0416666666667,0.0,0.0,0.0,0.0,0.0,0.0416666666667,0.0,0.0416666666667,0.0833333333333,0.5,0.0,0.0
